X,Y,Z,Q,A
5.434,6.864,6.4506,92.1171,0
6.292,10.296,-11.5863,145.569,0
2.002,3.432,27.7509,9.2111,0
2.002,3.432,28.2801,8.52163,0
2.288,3.432,16.9905,223.474,2
4.004,5.148,16.9905,223.474,2
4.004,3.432,16.9905,223.474,0
2.288,3.432,27.7509,5.23152,0
2.288,3.432,28.2801,4.10659,0
6.578,10.296,-12.4683,13.0455,0
4.29,5.148,16.2849,43.4791,2
4.29,3.432,16.2849,43.4791,0
2.574,3.432,28.236,5.16499,0
6.292,6.864,-2.0607,156.353,0
6.292,8.58,-2.0607,156.353,2
6.578,8.58,-3.1191,17.1642,0
3.146,3.432,28.2801,5.47344,0
5.148,5.148,6.3183,189.847,0
6.864,6.864,6.3183,189.847,2
2.002,3.146,18.7545,238.037,2
3.718,3.146,18.7545,238.037,0
3.718,4.862,18.7545,238.037,2
6.292,10.01,-9.9987,107.945,0
2.288,3.146,18.2253,73.4106,2
4.004,4.862,18.2253,73.4106,2
4.004,3.146,18.2253,73.4106,0
6.006,6.578,-0.3849,96.4172,0
6.006,8.294,-0.3849,96.4172,2
6.292,6.578,-0.7818,146.331,0
6.292,8.294,-0.7818,146.331,2
4.576,4.862,8.2146,7.78378,0
6.292,6.578,1.6437,11.7029,0
7.15,10.01,-14.2323,11.3098,0
2.86,3.146,27.4422,16.3961,0
6.578,6.578,1.4673,21.3192,0
4.862,4.862,9.3171,40.6002,0
3.146,3.146,28.2801,3.30826,0
5.148,4.862,8.7879,160.484,0
6.864,6.578,1.5114,38.6044,0
7.722,10.01,-9.9546,86.3412,0
3.432,3.146,28.2801,4.3727,0
2.002,2.86,20.4303,188.184,2
3.718,2.86,20.4303,188.184,0
5.72,6.292,1.9083,20.8414,0
6.006,6.292,1.6437,209.799,0
6.292,6.292,1.6437,20.6358,0
2.86,2.86,28.2801,5.41901,0
4.862,4.576,10.3314,196.082,0
6.578,6.292,1.4673,7.78982,0
3.432,2.86,21.8415,214.117,0
5.148,2.86,21.8415,214.117,2
7.722,9.724,-17.9367,18.1924,0
5.148,4.576,9.4053,10.6263,0
2.002,2.574,28.2801,4.42714,0
5.72,6.006,2.3493,212.279,0
6.006,6.006,1.9524,86.6678,0
4.576,4.29,12.0072,175.622,0
3.146,2.574,23.2086,132.602,0
4.862,4.29,11.3457,96.0906,0
7.436,9.438,-15.7758,10.3179,0
3.432,2.574,22.3707,146.997,0
5.148,2.574,22.3707,146.997,2
7.722,9.438,-15.9081,74.8984,0
5.434,7.436,-4.6185,60.3167,0
5.434,5.72,4.7307,53.2708,0
5.72,5.72,4.0692,135.106,0
5.72,7.436,-4.5744,53.5671,0
4.29,2.288,14.9178,93.1271,2
4.29,4.004,14.9178,93.1271,0
6.006,7.436,-4.398,28.9034,0
2.86,2.288,25.3695,87.823,0
4.576,2.288,13.5066,176.922,2
4.576,4.004,13.5066,176.922,0
6.292,7.436,-4.1775,49.3819,0
3.146,2.288,24.7521,210.573,0
6.578,7.436,-5.1477,134.907,0
7.436,9.152,-14.1882,127.516,0
7.722,9.152,-15.1143,68.669,0
6.864,7.436,-6.3384,15.9244,0
5.434,5.434,5.9655,201.108,0
4.004,3.718,16.4613,38.81,0
4.004,2.002,16.4613,38.81,2
2.288,2.002,28.8975,28.4316,0
2.288,2.002,27.8832,7.88054,0
4.29,3.718,15.1824,341.893,0
4.29,2.002,15.1824,341.893,2
2.86,2.002,26.6484,200.485,0
6.292,7.15,-3.8247,61.4235,0
7.15,8.866,-12.7329,34.8002,0
2.86,2.002,28.2801,5.63069,0
6.578,7.15,-4.7508,177.999,0
7.436,8.866,-13.3503,113.146,0
3.146,2.002,27.7509,7.03987,0
3.432,2.002,28.2801,3.90096,0
